,compound0,compound1,similarity
643,DB00181,DB01097,0.2889
644,DB00181,DB01101,0.1698
645,DB00181,DB01105,0.4045
646,DB00181,DB01110,0.3303
647,DB00181,DB01114,0.4783
648,DB00181,DB01115,0.2095
649,DB00181,DB01117,0.3214
650,DB00181,DB01118,0.208
651,DB00181,DB01124,0.3448
652,DB00181,DB01126,0.1583
653,DB00181,DB01127,0.3551
654,DB00181,DB01128,0.2609
655,DB00181,DB01129,0.2182
656,DB00181,DB01132,0.2364
657,DB00181,DB01136,0.2222
658,DB00181,DB01140,0.3774
659,DB00181,DB01143,0.1714
660,DB00181,DB01149,0.2388
661,DB00181,DB01151,0.2474
662,DB00181,DB01156,0.375
663,DB00181,DB01162,0.1356
664,DB00181,DB01165,0.1636
665,DB00181,DB01173,0.2947
666,DB00181,DB01181,0.1039
667,DB00181,DB01182,0.3091
668,DB00181,DB01188,0.15
669,DB00181,DB01189,0.0323
670,DB00181,DB01193,0.2718
671,DB00181,DB01194,0.14
672,DB00181,DB01195,0.2087
673,DB00181,DB01198,0.2609
674,DB00181,DB01204,0.2188
675,DB00181,DB01205,0.2424
676,DB00181,DB01215,0.28
677,DB00181,DB01217,0.1429
678,DB00181,DB01220,0.1146
679,DB00181,DB01221,0.2651
680,DB00181,DB01223,0.1538
681,DB00181,DB01224,0.2203
682,DB00181,DB01232,0.2159
683,DB00181,DB01233,0.2609
684,DB00181,DB01236,0.0597
685,DB00181,DB01238,0.24
686,DB00181,DB01240,0.1852
687,DB00181,DB01241,0.3256
688,DB00181,DB01242,0.3168
689,DB00181,DB01254,0.2424
690,DB00181,DB01263,0.1622
691,DB00181,DB01264,0.2483
692,DB00181,DB01267,0.1732
693,DB00181,DB01268,0.2034
694,DB00181,DB01275,0.2466
695,DB00181,DB01291,0.241
696,DB00181,DB01410,0.1497
697,DB00181,DB01589,0.2804
698,DB00181,DB01595,0.2245
699,DB00181,DB01609,0.2542
700,DB00181,DB01610,0.2075
701,DB00181,DB01611,0.3301
702,DB00181,DB05271,0.2353
703,DB00181,DB06700,0.3516
704,DB00181,DB06701,0.2759
705,DB00184,DB00186,0.1915
706,DB00184,DB00188,0.2301
707,DB00184,DB00191,0.2462
708,DB00184,DB00195,0.2268
709,DB00184,DB00196,0.1837
710,DB00184,DB00200,0.078
711,DB00184,DB00201,0.1667
712,DB00184,DB00203,0.2047
713,DB00184,DB00204,0.1217
714,DB00184,DB00205,0.1951
715,DB00184,DB00208,0.2824
716,DB00184,DB00209,0.2167
717,DB00184,DB00210,0.176
718,DB00184,DB00211,0.1429
719,DB00184,DB00213,0.1667
720,DB00184,DB00214,0.2574
721,DB00184,DB00215,0.1553
722,DB00184,DB00216,0.354
723,DB00184,DB00222,0.2016
724,DB00184,DB00231,0.2553
725,DB00184,DB00238,0.3478
726,DB00184,DB00243,0.2114
727,DB00184,DB00244,0.1562
728,DB00184,DB00250,0.1463
729,DB00184,DB00252,0.1556
730,DB00184,DB00257,0.2018
731,DB00184,DB00261,0.2
732,DB00184,DB00262,0.0
733,DB00184,DB00264,0.1591
734,DB00184,DB00268,0.1798
735,DB00184,DB00270,0.1651
736,DB00184,DB00275,0.1562
737,DB00184,DB00277,0.1714
738,DB00184,DB00280,0.1923
739,DB00184,DB00281,0.1728
740,DB00184,DB00285,0.2418
741,DB00184,DB00287,0.1527
742,DB00184,DB00291,0.1364
743,DB00184,DB00292,0.2791
744,DB00184,DB00294,0.1569
745,DB00184,DB00296,0.3297
746,DB00184,DB00297,0.3191
747,DB00184,DB00303,0.192
748,DB00184,DB00305,0.1
749,DB00184,DB00307,0.1714
750,DB00184,DB00310,0.1474
751,DB00184,DB00313,0.0328
752,DB00184,DB00316,0.2154
753,DB00184,DB00317,0.208
754,DB00184,DB00321,0.2083
755,DB00184,DB00323,0.1573
756,DB00184,DB00328,0.1538
757,DB00184,DB00330,0.0274
758,DB00184,DB00331,0.0351
759,DB00184,DB00333,0.1616
760,DB00184,DB00334,0.303
761,DB00184,DB00335,0.1609
762,DB00184,DB00339,0.3
763,DB00184,DB00341,0.2124
764,DB00184,DB00346,0.193
765,DB00184,DB00350,0.2338
766,DB00184,DB00351,0.1835
767,DB00184,DB00356,0.1515
768,DB00184,DB00358,0.2642
769,DB00184,DB00359,0.2169
770,DB00184,DB00363,0.2941
771,DB00184,DB00364,0.0084
772,DB00184,DB00370,0.4043
773,DB00184,DB00371,0.027
774,DB00184,DB00374,0.193
775,DB00184,DB00376,0.3
776,DB00184,DB00377,0.28
777,DB00184,DB00379,0.2
778,DB00184,DB00381,0.1607
779,DB00184,DB00393,0.1897
780,DB00184,DB00395,0.0244
781,DB00184,DB00398,0.1452
782,DB00184,DB00399,0.1842
783,DB00184,DB00401,0.1636
784,DB00184,DB00404,0.2222
785,DB00184,DB00407,0.0183
786,DB00184,DB00408,0.2941
787,DB00184,DB00411,0.0328
788,DB00184,DB00419,0.1067
789,DB00184,DB00423,0.1951
790,DB00184,DB00425,0.1818
791,DB00184,DB00426,0.1414
792,DB00184,DB00433,0.2593
793,DB00184,DB00435,0.0
794,DB00184,DB00440,0.1505
795,DB00184,DB00446,0.1364
796,DB00184,DB00448,0.1905
797,DB00184,DB00450,0.2069
798,DB00184,DB00454,0.3256
799,DB00184,DB00455,0.2832
800,DB00184,DB00457,0.2435
